grade,direction_value,surface_value,cond_range,race_distance,race_type,median_winner_time,upper_quartile_winner_time,lower_quartile_winner_time,median_top3_time,upper_quartile_top3_time,lower_quartile_top3_time
A,LeftTurning,Dirt,0.25,8,Claiming,99.8655155227091,100.0036033085832,99.727427736835,100.79501988654403,100.84486612148388,100.74517365160418
A,LeftTurning,Dirt,0.25,8,RestrictedStakes,99.26900235366219,99.32664014200319,99.14322412882758,99.60244381044035,99.69915366227659,99.52579819203646
A,LeftTurning,Dirt,0.25,9,Allowance,112.67326918682573,112.91514232937035,112.53514890653072,113.23400442796412,113.55989239773332,113.12458483029978
A,LeftTurning,Dirt,0.25,9,Claiming,113.65185630336543,113.82001550191345,113.48369710481744,114.3491682083752,114.64558454115242,114.052751875598
A,LeftTurning,Dirt,0.25,9,RestrictedStakes,112.58169351866152,112.58169351866152,112.58169351866152,113.77773082830117,114.28704614726297,113.26841550933936
A,LeftTurning,Dirt,0.25,10,Allowance,126.20507358388377,126.7093564844984,126.01350544049316,127.05798498113772,127.28423356448602,126.84488968436564
A,LeftTurning,Dirt,0.25,10,Claiming,127.4366366314125,127.4366366314125,127.4366366314125,128.02516260590895,128.02516260590895,128.02516260590895
A,LeftTurning,Dirt,0.25,10,RestrictedStakes,125.88508897703491,126.03304124225603,125.7967999330418,126.37036939859723,126.554665601262,126.16152473571513
A,LeftTurning,Dirt,0.25,11,Allowance,141.7373460095682,141.82553259305368,141.61952761247414,142.17701020416266,142.59216750575632,142.16042705409242
A,LeftTurning,Dirt,0.25,11,Claiming,143.38340773696586,143.4380704464746,143.32874502745713,143.88972119686142,143.970013748088,143.80942864563482
A,LeftTurning,Dirt,0.25,11,Maiden,,,,,,
A,LeftTurning,Dirt,0.25,11,RestrictedStakes,141.36986026206444,141.92092523309992,141.09313824213098,141.96385487050003,142.09781989420142,141.8680984713738
A,LeftTurning,Dirt,0.25,12,Allowance,155.81412446461962,156.28833590622983,154.91237168674377,155.85478390452528,157.11839082346378,155.16064813547197
A,LeftTurning,Dirt,0.25,12,Claiming,156.3548184799622,156.3548184799622,156.3548184799622,157.37040409651732,157.37040409651732,157.37040409651732
A,LeftTurning,Dirt,0.25,12,RestrictedStakes,155.17905147306317,155.26506055631103,155.0378097200231,155.74398730473123,156.09412546379565,155.49021807839299
A,LeftTurning,Dirt,0.5,4,Allowance,45.86349384533145,46.03343723638524,45.75290899423073,46.11745588605245,46.22718830134424,46.08546853697682
A,LeftTurning,Dirt,0.5,4,Claiming,46.48881011654785,46.55928284285074,46.41833739024496,46.62497481253291,46.63438830855239,46.615561316513435
A,LeftTurning,Dirt,0.5,4,RestrictedStakes,45.82750340170384,46.056366867914306,45.783522470648435,46.056999558459935,46.411850504410054,45.99230222386526
